"","cond","subj","block","trial","stim","resp","rt"
"414","neutral",15,2,4,8,"A",1669
"415","neutral",15,2,5,4,"A",766
"416","neutral",15,2,6,2,"A",723
"417","neutral",15,2,7,7,"B",720
"418","neutral",15,2,8,5,"B",801
"419","neutral",15,2,9,1,"A",722
"420","neutral",15,2,10,6,"B",484
"421","neutral",15,3,1,2,"A",1361
"422","neutral",15,3,2,3,"B",451
"423","neutral",15,3,3,8,"A",612
"424","neutral",15,3,4,1,"A",521
"425","neutral",15,3,5,10,"A",643
"426","neutral",15,3,6,6,"B",528
"427","neutral",15,3,7,7,"B",439
"428","neutral",15,3,8,5,"A",447
"429","neutral",15,3,9,9,"B",482
"430","neutral",15,3,10,4,"A",493
"431","neutral",15,4,1,2,"A",1362
"432","neutral",15,4,2,7,"A",610
"433","neutral",15,4,3,10,"A",489
"434","neutral",15,4,4,6,"B",526
"435","neutral",15,4,5,4,"A",529
"436","neutral",15,4,6,8,"A",444
"437","neutral",15,4,7,3,"A",530
"438","neutral",15,4,8,5,"A",490
"439","neutral",15,4,9,9,"B",451
"440","neutral",15,4,10,1,"A",405
"441","neutral",15,5,1,6,"B",1040
"442","neutral",15,5,2,8,"A",446
"443","neutral",15,5,3,10,"B",520
"444","neutral",15,5,4,1,"A",682
"445","neutral",15,5,5,4,"A",522
"446","neutral",15,5,6,9,"B",446
"447","neutral",15,5,7,2,"A",481
"448","neutral",15,5,8,3,"B",836
"449","neutral",15,5,9,5,"A",524
"450","neutral",15,5,10,7,"B",695
"451","neutral",15,6,1,9,"B",882
"452","neutral",15,6,2,6,"B",561
"453","neutral",15,6,3,5,"A",530
"454","neutral",15,6,4,7,"A",917
"455","neutral",15,6,5,1,"A",680
"456","neutral",15,6,6,2,"A",558
"457","neutral",15,6,7,8,"A",485
"458","neutral",15,6,8,10,"B",444
"459","neutral",15,6,9,3,"B",609
"460","neutral",15,6,10,4,"A",479
"461","neutral",15,7,1,9,"B",995
"462","neutral",15,7,2,10,"A",450
"463","neutral",15,7,3,5,"A",564
"464","neutral",15,7,4,2,"A",638
"465","neutral",15,7,5,6,"B",405
"466","neutral",15,7,6,4,"B",607
"467","neutral",15,7,7,1,"A",567
"468","neutral",15,7,8,7,"B",403
"469","neutral",15,7,9,8,"A",524
"470","neutral",15,7,10,3,"B",450
"471","neutral",15,8,1,5,"A",924
"472","neutral",15,8,2,8,"A",688
"473","neutral",15,8,3,3,"B",1834
"474","neutral",15,8,4,7,"B",2528
"475","neutral",15,8,5,6,"B",791
"476","neutral",15,8,6,1,"A",644
"477","neutral",15,8,7,2,"A",767
"478","neutral",15,8,8,4,"B",846
"479","neutral",15,8,9,9,"B",672
"480","neutral",15,8,10,10,"B",1088
"481","neutral",16,1,1,8,"B",6196
"482","neutral",16,1,2,7,"A",6353
"483","neutral",16,1,3,6,"B",5006
"484","neutral",16,1,4,1,"A",2150
"485","neutral",16,1,5,2,"B",6878
"486","neutral",16,1,6,4,"A",1548
"487","neutral",16,1,7,10,"B",1399
"488","neutral",16,1,8,5,"A",1090
"489","neutral",16,1,9,3,"A",871
"490","neutral",16,1,10,9,"B",1036
"491","neutral",16,2,1,8,"B",5715
"492","neutral",16,2,2,7,"A",4213
"493","neutral",16,2,3,1,"A",967
"494","neutral",16,2,4,9,"B",1198
"495","neutral",16,2,5,6,"B",2632
"496","neutral",16,2,6,10,"B",4533
"497","neutral",16,2,7,4,"A",879
"498","neutral",16,2,8,5,"A",846
"499","neutral",16,2,9,2,"B",1007
"500","neutral",16,2,10,3,"A",1360
"501","neutral",16,3,1,4,"B",3511
"502","neutral",16,3,2,6,"B",1353
"503","neutral",16,3,3,8,"B",2108
"504","neutral",16,3,4,9,"A",799
"505","neutral",16,3,5,7,"B",799
"506","neutral",16,3,6,5,"A",759
"507","neutral",16,3,7,3,"A",923
"508","neutral",16,3,8,1,"A",1043
"509","neutral",16,3,9,10,"B",964
"510","neutral",16,3,10,2,"A",998
"511","neutral",16,4,1,9,"B",7033
"512","neutral",16,4,2,2,"A",1952
"513","neutral",16,4,3,7,"B",1273
"514","neutral",16,4,4,10,"A",1038
"515","neutral",16,4,5,4,"A",882
"516","neutral",16,4,6,8,"B",877
"517","neutral",16,4,7,3,"A",817
"518","neutral",16,4,8,6,"B",884
"519","neutral",16,4,9,5,"B",998
"520","neutral",16,4,10,1,"A",801
"521","neutral",16,5,1,7,"B",5800
"522","neutral",16,5,2,10,"B",4583
