"date","subj","cbal","keyb","phase","block","trial","stim","vtft","ftpks","pk1acc","totpks","pos1rt","neg1rt"
2007-01-22,2,6,"right",1,2,13,"S0001",1,0,"*",1,-1,1247
2007-01-22,2,6,"right",1,2,14,"S0100",1,0,"+",1,650,5020
2007-01-22,2,6,"right",1,2,15,"S2000",1,2,"*",3,671,-1
2007-01-22,2,6,"right",1,2,16,"S0200",1,0,"+",1,5183,979
2007-01-22,2,6,"right",1,2,17,"S0010",1,1,"*",2,-1,733
2007-01-22,2,6,"right",1,2,18,"S0001",1,1,"*",2,-1,835
2007-01-22,2,6,"right",1,2,19,"S0200",1,1,"*",2,692,-1
2007-01-22,2,6,"right",1,2,20,"S0100",1,1,"*",2,-1,671
2007-01-22,2,6,"right",1,2,21,"S2000",1,1,"*",2,753,-1
2007-01-22,2,6,"right",1,2,22,"S0002",1,1,"*",2,712,-1
2007-01-22,2,6,"right",1,2,23,"S1000",1,1,"*",2,-1,712
2007-01-22,2,6,"right",1,2,24,"S0020",1,0,"*",1,2271,-1
2007-01-22,2,6,"right",1,2,25,"S0100",1,0,"*",1,-1,1103
2007-01-22,2,6,"right",1,2,26,"S0020",1,0,"*",1,1041,-1
2007-01-22,2,6,"right",1,2,27,"S0010",1,2,"*",3,-1,671
2007-01-22,2,6,"right",1,2,28,"S0001",1,0,"+",1,3994,6209
2007-01-22,2,6,"right",1,2,29,"S0002",1,1,"*",2,794,-1
2007-01-22,2,6,"right",1,2,30,"S1000",1,2,"*",3,-1,671
2007-01-22,2,6,"right",1,2,31,"S2000",1,1,"*",2,712,-1
2007-01-22,2,6,"right",1,2,32,"S0200",1,0,"+",1,6149,1227
2007-01-22,2,6,"right",1,2,33,"S1000",1,2,"*",3,-1,569
2007-01-22,2,6,"right",1,2,34,"S0010",1,0,"*",1,-1,1082
2007-01-22,2,6,"right",1,2,35,"S0002",1,0,"*",1,1185,-1
2007-01-22,2,6,"right",1,2,36,"S0020",1,0,"*",1,1533,-1
2007-01-22,2,6,"right",1,2,37,"S0001",1,1,"*",2,-1,835
2007-01-22,2,6,"right",1,2,38,"S0200",1,1,"*",2,855,-1
2007-01-22,2,6,"right",1,2,39,"S0100",1,1,"*",2,-1,691
2007-01-22,2,6,"right",1,2,40,"S2000",1,0,"*",1,1225,-1
2007-01-22,2,6,"right",1,2,41,"S0010",1,1,"*",2,-1,711
2007-01-22,2,6,"right",1,2,42,"S0002",1,0,"*",1,1124,-1
2007-01-22,2,6,"right",1,2,43,"S1000",1,1,"*",2,-1,732
2007-01-22,2,6,"right",1,2,44,"S0200",1,0,"*",1,2068,-1
2007-01-22,2,6,"right",1,2,45,"S0100",1,1,"*",2,-1,691
2007-01-22,2,6,"right",1,2,46,"S2000",1,1,"*",2,794,-1
2007-01-22,2,6,"right",1,2,47,"S0020",1,1,"*",2,692,-1
2007-01-22,2,6,"right",1,2,48,"S0001",1,0,"*",1,-1,1043
2007-01-22,2,6,"right",1,2,49,"S0010",1,1,"*",2,-1,671
2007-01-22,2,6,"right",1,2,50,"S2000",1,0,"*",1,1556,-1
2007-01-22,2,6,"right",1,2,51,"S0100",1,1,"*",2,-1,959
2007-01-22,2,6,"right",1,2,52,"S0200",1,1,"*",2,732,-1
2007-01-22,2,6,"right",1,2,53,"S0001",1,0,"*",1,-1,1042
2007-01-22,2,6,"right",1,2,54,"S1000",1,0,"*",1,-1,1535
2007-01-22,2,6,"right",1,2,55,"S0020",1,0,"*",1,1186,-1
2007-01-22,2,6,"right",1,2,56,"S0002",1,0,"*",1,1084,-1
2007-01-22,2,6,"right",1,2,57,"S0100",1,1,"*",2,-1,671
2007-01-22,2,6,"right",1,2,58,"S0200",1,1,"*",2,713,-1
2007-01-22,2,6,"right",1,2,59,"S0010",1,1,"*",2,-1,651
2007-01-22,2,6,"right",1,2,60,"S0001",1,1,"*",2,-1,691
2007-01-22,2,6,"right",1,2,61,"S0020",1,1,"*",2,691,-1
2007-01-22,2,6,"right",1,2,62,"S1000",1,2,"*",3,-1,609
2007-01-22,2,6,"right",1,2,63,"S0002",1,1,"*",2,712,-1
2007-01-22,2,6,"right",1,2,64,"S2000",1,1,"*",2,732,-1
2007-01-22,2,6,"right",2,1,1,"S8760",1,0,"*",1,5108,-1
2007-01-22,2,6,"right",2,1,2,"S4320",1,1,"*",2,-1,697
2007-01-22,2,6,"right",2,1,3,"S4320",1,1,"*",2,-1,737
2007-01-22,2,6,"right",2,1,4,"S8760",1,1,"*",2,738,-1
2007-01-22,2,6,"right",2,1,5,"S8760",1,1,"*",2,758,-1
2007-01-22,2,6,"right",2,1,6,"S4320",1,1,"*",2,-1,759
2007-01-22,2,6,"right",2,1,7,"S4320",1,0,"*",1,-1,1356
2007-01-22,2,6,"right",2,1,8,"S8760",1,1,"*",2,718,-1
2007-01-22,2,6,"right",2,1,9,"S8760",1,1,"*",2,717,-1
2007-01-22,2,6,"right",2,1,10,"S4320",1,2,"*",3,-1,533
2007-01-22,2,6,"right",2,1,11,"S4320",1,0,"*",1,-1,2709
2007-01-22,2,6,"right",2,1,12,"S8760",1,1,"*",2,983,-1
2007-01-22,2,6,"right",2,1,13,"S4320",1,0,"*",1,-1,1068
2007-01-22,2,6,"right",2,1,14,"S8760",1,1,"*",2,758,-1
2007-01-22,2,6,"right",2,1,15,"S4320",1,1,"*",2,-1,881
2007-01-22,2,6,"right",2,1,16,"S8760",1,1,"*",2,942,-1
2007-01-22,2,6,"right",2,1,17,"S4320",1,0,"*",1,-1,1048
2007-01-22,2,6,"right",2,1,18,"S8760",1,0,"*",1,1171,-1
2007-01-22,2,6,"right",2,1,19,"S4320",1,1,"*",2,-1,758
2007-01-22,2,6,"right",2,1,20,"S8760",1,1,"*",2,839,-1
2007-01-22,2,6,"right",2,1,21,"S4320",1,1,"*",2,-1,717
2007-01-22,2,6,"right",2,1,22,"S8760",1,0,"*",1,1500,-1
2007-01-22,2,6,"right",2,1,23,"S4320",1,1,"*",2,-1,697
2007-01-22,2,6,"right",2,1,24,"S4320",1,1,"*",2,-1,717
2007-01-22,2,6,"right",2,1,25,"S8760",1,1,"*",2,820,-1
2007-01-22,2,6,"right",2,1,26,"S4320",1,1,"*",2,-1,737
2007-01-22,2,6,"right",2,1,27,"S8760",1,1,"*",2,737,-1
2007-01-22,2,6,"right",2,1,28,"S4320",1,1,"*",2,-1,922
2007-01-22,2,6,"right",2,1,29,"S8760",1,1,"*",2,759,-1
2007-01-22,2,6,"right",2,1,30,"S4320",1,1,"*",2,-1,819
2007-01-22,2,6,"right",2,1,31,"S8760",1,1,"*",2,800,-1
2007-01-22,2,6,"right",2,1,32,"S8760",1,1,"*",2,738,-1
2007-01-22,2,6,"right",3,1,1,"S4320",1,1,"*",2,-1,800
2007-01-22,2,6,"right",3,1,2,"S8760",1,1,"*",2,778,-1
2007-01-22,2,6,"right",3,1,3,"S4320",1,1,"*",2,-1,758
2007-01-22,2,6,"right",3,1,4,"S8760",1,1,"*",2,759,-1
2007-01-22,2,6,"right",3,1,5,"S4320",1,1,"*",2,-1,819
2007-01-22,2,6,"right",3,1,6,"S8760",1,2,"*",3,677,-1
2007-01-22,2,6,"right",3,1,7,"S8760",1,0,"+",1,2773,821
2007-01-22,2,6,"right",3,1,8,"S4320",1,1,"*",2,-1,901
2007-01-22,2,6,"right",3,1,9,"S4320",1,2,"*",3,-1,696
2007-01-22,2,6,"right",3,1,10,"S8760",1,1,"*",2,1004,-1
2007-01-22,2,6,"right",3,1,11,"S4320",1,1,"*",2,-1,779
2007-01-22,2,6,"right",3,1,12,"S4320",1,2,"*",3,-1,717
2007-01-22,2,6,"right",3,1,13,"S8760",1,0,"*",1,1890,-1
2007-01-22,2,6,"right",3,1,14,"S8760",1,1,"*",2,718,-1
2007-01-22,2,6,"right",3,1,15,"S4320",1,2,"*",3,-1,676
2007-01-22,2,6,"right",3,1,16,"S8760",1,2,"*",3,655,-1
2007-01-22,2,6,"right",3,1,17,"S4320",1,1,"*",2,-1,942
2007-01-22,2,6,"right",3,1,18,"S8760",1,1,"*",2,799,-1
2007-01-22,2,6,"right",3,1,19,"S4320",1,0,"*",1,-1,1091
2007-01-22,2,6,"right",3,1,20,"S8760",1,1,"*",2,989,-1
2007-01-22,2,6,"right",3,2,1,"S4360",1,0,"R",1,-1,1050
2007-01-22,2,6,"right",3,2,2,"S4320",1,0,"*",1,-1,1070
2007-01-22,2,6,"right",3,2,3,"S8760",1,2,"*",3,701,-1
2007-01-22,2,6,"right",3,2,4,"S4320",1,1,"*",2,-1,738
2007-01-22,2,6,"right",3,2,5,"S8760",1,1,"*",2,738,-1
2007-01-22,2,6,"right",3,2,6,"S4720",1,0,"R",1,-1,2793
2007-01-22,2,6,"right",3,2,7,"S4320",1,0,"*",1,-1,1112
2007-01-22,2,6,"right",3,2,8,"S4320",1,0,"*",1,-1,1049
2007-01-22,2,6,"right",3,2,9,"S8360",1,0,"L",1,963,-1
2007-01-22,2,6,"right",3,2,10,"S8760",1,1,"*",2,862,-1
2007-01-22,2,6,"right",3,2,11,"S4720",1,0,"R",1,-1,860
2007-01-22,2,6,"right",3,2,12,"S8760",1,2,"*",3,573,-1
2007-01-22,2,6,"right",3,2,13,"S8760",1,1,"*",2,880,-1
2007-01-22,2,6,"right",3,2,14,"S4320",1,1,"*",2,-1,922
2007-01-22,2,6,"right",3,2,15,"S4760",1,0,"R",1,-1,902
