"","cond","subj","phase","block","trial","stim","resp","rt","rtiti"
"458","noload",13,"exp",6,8,8,"A",986,724
"459","noload",13,"exp",6,9,1,"A",395,410
"460","noload",13,"exp",6,10,7,"B",594,362
"461","noload",13,"exp",7,1,7,"B",1323,392
"462","noload",13,"exp",7,2,1,"A",614,390
"463","noload",13,"exp",7,3,10,"B",686,377
"464","noload",13,"exp",7,4,2,"A",256,726
"465","noload",13,"exp",7,5,8,"A",580,330
"466","noload",13,"exp",7,6,5,"A",808,1036
"467","noload",13,"exp",7,7,6,"B",677,366
"468","noload",13,"exp",7,8,9,"B",1671,231
"469","noload",13,"exp",7,9,3,"B",350,214
"470","noload",13,"exp",7,10,4,"A",155,618
"471","noload",13,"exp",8,1,5,"A",1457,551
"472","noload",13,"exp",8,2,6,"B",2143,558
"473","noload",13,"exp",8,3,8,"A",1926,426
"474","noload",13,"exp",8,4,3,"B",2335,1559
"475","noload",13,"exp",8,5,9,"B",1625,498
"476","noload",13,"exp",8,6,4,"A",1272,361
"477","noload",13,"exp",8,7,7,"B",1515,347
"478","noload",13,"exp",8,8,10,"B",677,477
"479","noload",13,"exp",8,9,2,"A",956,492
"480","noload",13,"exp",8,10,1,"A",425,381
"481","noload",13,"exp",9,1,3,"B",487,314
"482","noload",13,"exp",9,2,7,"B",406,282
"483","noload",13,"exp",9,3,5,"A",455,613
"484","noload",13,"exp",9,4,1,"A",684,199
"485","noload",13,"exp",9,5,2,"A",1347,374
"486","noload",13,"exp",9,6,8,"B",917,396
"487","noload",13,"exp",9,7,4,"A",2592,295
"488","noload",13,"exp",9,8,10,"B",2565,249
"489","noload",13,"exp",9,9,9,"B",2585,259
"490","noload",13,"exp",9,10,6,"B",997,271
"491","noload",13,"exp",10,1,2,"A",780,217
"492","noload",13,"exp",10,2,10,"B",838,638
"493","noload",13,"exp",10,3,6,"B",628,357
"494","noload",13,"exp",10,4,8,"B",2351,360
"495","noload",13,"exp",10,5,1,"A",522,278
"496","noload",13,"exp",10,6,3,"A",1006,250
"497","noload",13,"exp",10,7,9,"B",1256,247
"498","noload",13,"exp",10,8,7,"B",505,271
"499","noload",13,"exp",10,9,4,"A",1776,278
"500","noload",13,"exp",10,10,5,"A",683,327
"501","noload",13,"exp",11,1,8,"B",1146,163
"502","noload",13,"exp",11,2,1,"A",567,252
"503","noload",13,"exp",11,3,3,"A",2067,438
"504","noload",13,"exp",11,4,10,"B",1652,159
"505","noload",13,"exp",11,5,2,"A",526,200
"506","noload",13,"exp",11,6,7,"B",750,184
"507","noload",13,"exp",11,7,4,"A",1528,220
"508","noload",13,"exp",11,8,9,"B",1534,276
"509","noload",13,"exp",11,9,6,"B",838,157
"510","noload",13,"exp",11,10,5,"A",2358,243
"511","noload",13,"exp",12,1,6,"B",522,405
"512","noload",13,"exp",12,2,8,"B",1390,518
"513","noload",13,"exp",12,3,9,"A",1002,454
"514","noload",13,"exp",12,4,4,"A",1772,243
"515","noload",13,"exp",12,5,1,"A",598,335
"516","noload",13,"exp",12,6,5,"A",1175,498
"517","noload",13,"exp",12,7,2,"A",413,339
"518","noload",13,"exp",12,8,10,"B",538,360
"519","noload",13,"exp",12,9,3,"A",1406,328
"520","noload",13,"exp",12,10,7,"B",1197,398
"521","noload",14,"prac",0,1,0,"A",7026,999
"522","noload",14,"prac",0,2,0,"A",4105,468
"523","noload",14,"prac",0,3,0,"A",1245,616
"524","noload",14,"prac",0,4,0,"A",716,412
"525","noload",14,"prac",0,5,0,"B",911,858
"526","noload",14,"prac",0,6,0,"B",2649,541
"527","noload",14,"prac",0,7,0,"B",1030,759
"528","noload",14,"prac",0,8,0,"A",907,804
"529","noload",14,"prac",0,9,0,"B",660,362
"530","noload",14,"prac",0,10,0,"B",835,764
"531","noload",14,"exp",1,1,1,"A",911,344
"532","noload",14,"exp",1,2,3,"B",902,364
"533","noload",14,"exp",1,3,5,"A",668,259
"534","noload",14,"exp",1,4,7,"B",666,291
"535","noload",14,"exp",1,5,2,"A",762,276
"536","noload",14,"exp",1,6,9,"B",670,261
"537","noload",14,"exp",1,7,4,"A",746,243
"538","noload",14,"exp",1,8,6,"B",366,265
"539","noload",14,"exp",1,9,8,"B",1277,286
"540","noload",14,"exp",1,10,10,"B",8136,316
"541","noload",14,"exp",2,1,1,"A",1029,215
"542","noload",14,"exp",2,2,10,"B",490,301
"543","noload",14,"exp",2,3,4,"A",918,207
"544","noload",14,"exp",2,4,8,"A",4006,283
"545","noload",14,"exp",2,5,3,"B",1341,315
"546","noload",14,"exp",2,6,6,"B",1695,278
"547","noload",14,"exp",2,7,2,"A",723,247
"548","noload",14,"exp",2,8,7,"B",1008,251
