subj,block,trial,stim,resp,rt
10,8,6,6,B,671
10,8,7,8,A,815
10,8,8,7,B,579
10,8,9,2,A,696
10,8,10,1,A,776
11,1,1,10,B,4991
11,1,2,2,A,6200
11,1,3,4,A,4161
11,1,4,9,B,2054
11,1,5,8,B,10225
11,1,6,6,B,4006
11,1,7,7,B,7228
11,1,8,3,A,9447
11,1,9,5,A,10528
11,1,10,1,A,4323
11,2,1,8,B,12710
11,2,2,9,B,8075
11,2,3,2,A,3415
11,2,4,4,A,4441
11,2,5,6,B,3446
11,2,6,5,A,5276
11,2,7,10,B,11424
11,2,8,1,A,31695
11,2,9,7,B,5087
11,2,10,3,A,3762
11,3,1,6,B,6840
11,3,2,8,B,5158
11,3,3,9,B,4642
11,3,4,1,A,2250
11,3,5,5,A,3485
11,3,6,4,A,3326
11,3,7,3,A,5603
11,3,8,2,A,4362
11,3,9,10,B,10959
11,3,10,7,B,3223
11,4,1,5,A,2729
11,4,2,9,B,3602
11,4,3,6,B,2445
11,4,4,2,A,4529
11,4,5,10,B,3972
11,4,6,4,A,3528
11,4,7,7,B,2855
11,4,8,3,A,7798
11,4,9,1,A,1971
11,4,10,8,B,3609
11,5,1,5,A,4449
11,5,2,8,B,3243
11,5,3,6,B,1855
11,5,4,10,B,2893
11,5,5,3,A,4171
11,5,6,7,B,4365
11,5,7,2,A,2335
11,5,8,9,B,4566
11,5,9,4,A,3693
11,5,10,1,A,3453
11,6,1,3,A,4366
11,6,2,7,B,4081
11,6,3,5,A,3773
11,6,4,9,B,4806
11,6,5,10,B,6280
11,6,6,6,B,3487
11,6,7,2,A,2650
11,6,8,1,A,7604
11,6,9,4,A,1417
11,6,10,8,B,8039
11,7,1,7,B,4247
11,7,2,6,B,2097
11,7,3,5,A,2288
11,7,4,1,A,2013
11,7,5,2,A,3365
11,7,6,9,B,5049
11,7,7,3,A,6006
11,7,8,8,B,5109
11,7,9,4,A,3284
11,7,10,10,B,3324
11,8,1,10,B,2649
11,8,2,7,B,3166
11,8,3,3,A,3403
11,8,4,8,B,6210
11,8,5,5,A,3687
11,8,6,6,B,3128
11,8,7,1,A,7962
11,8,8,4,A,4565
11,8,9,9,B,5688
11,8,10,2,A,3323
12,1,1,7,A,6809
12,1,2,8,B,4090
12,1,3,4,A,3850
12,1,4,5,A,2689
12,1,5,2,B,13115
12,1,6,9,B,11908
12,1,7,3,A,1895
12,1,8,10,B,7039
12,1,9,6,B,4525
12,1,10,1,A,1974
12,2,1,2,A,39143
12,2,2,6,B,9079
12,2,3,7,B,5325
12,2,4,10,B,15468
12,2,5,3,A,8086
12,2,6,5,A,11680
12,2,7,9,B,8557
12,2,8,8,B,7609
12,2,9,4,A,3619
12,2,10,1,A,4089
12,3,1,1,A,3899
12,3,2,6,B,3210
12,3,3,10,B,12416
12,3,4,8,B,3954
12,3,5,2,A,6241
12,3,6,9,B,6642
12,3,7,5,A,5884
12,3,8,7,B,4852
12,3,9,4,A,7082
12,3,10,3,A,3334
12,4,1,1,A,4483
12,4,2,4,A,3735
12,4,3,8,B,3879
12,4,4,10,B,10012
12,4,5,3,A,2133
12,4,6,6,B,3410
12,4,7,7,B,2974
12,4,8,2,A,2897
12,4,9,9,B,6612
12,4,10,5,A,4250
12,5,1,7,B,4206
12,5,2,8,B,4489
12,5,3,5,A,2623
12,5,4,1,A,2499
12,5,5,4,A,3569
12,5,6,10,B,5365
12,5,7,2,A,3456
12,5,8,3,A,1816
12,5,9,9,B,4808
12,5,10,6,B,2613
12,6,1,7,B,7688
12,6,2,5,A,2169
12,6,3,1,A,3890
12,6,4,4,A,4051
12,6,5,3,A,3087
12,6,6,9,B,7484
12,6,7,6,B,2139
12,6,8,10,B,4250
12,6,9,8,B,5005
12,6,10,2,A,5564
12,7,1,8,B,2779
12,7,2,6,B,1931
12,7,3,7,B,7240
12,7,4,9,B,5641
12,7,5,5,A,5087
12,7,6,1,A,1970
12,7,7,4,A,7804
12,7,8,10,B,5932
12,7,9,2,A,3657
12,7,10,3,A,2496
12,8,1,9,B,5094
12,8,2,8,B,4103
12,8,3,6,B,2588
