"subj"	"group"	"cb"	"age"	"gender"	"hand"	"block"	"trial"	"stimtype"	"stim1"	"stim2"	"outcome"	"resp"	"rt"	"acc"
602	3	1	19	"f"	"r"	3	108	3	1	2	2	1	0.24845	-1
602	3	1	19	"f"	"r"	4	109	17	14	0	2	1	0.30416	-1
602	3	1	19	"f"	"r"	4	110	14	10	0	1	1	0.39171	1
602	3	1	19	"f"	"r"	4	111	18	15	16	1	1	0.43199	1
602	3	1	19	"f"	"r"	4	112	4	3	0	2	1	0.35997	-1
602	3	1	19	"f"	"r"	4	113	12	8	7	1	1	0.40127	1
602	3	1	19	"f"	"r"	4	114	3	1	2	2	2	0.3842	-20
602	3	1	19	"f"	"r"	4	115	17	14	0	2	2	0.27981	-20
602	3	1	19	"f"	"r"	4	116	6	4	3	1	1	0.28791	1
602	3	1	19	"f"	"r"	4	117	14	10	0	1	1	0.21461	1
602	3	1	19	"f"	"r"	4	118	13	9	0	1	1	0.49608	1
602	3	1	19	"f"	"r"	4	119	2	2	0	1	2	0.31238	20
602	3	1	19	"f"	"r"	4	120	1	1	0	1	1	0.2892	1
602	3	1	19	"f"	"r"	4	121	8	6	0	1	2	0.23239	20
602	3	1	19	"f"	"r"	4	122	12	7	8	1	1	0.58247	1
602	3	1	19	"f"	"r"	4	123	16	13	0	2	1	0.31932	-1
602	3	1	19	"f"	"r"	4	124	5	4	0	2	1	0.31999	-1
602	3	1	19	"f"	"r"	4	125	16	13	0	2	1	0.33466	-1
602	3	1	19	"f"	"r"	4	126	13	9	0	1	1	0.25797	1
602	3	1	19	"f"	"r"	4	127	7	5	0	1	1	0.3029	1
602	3	1	19	"f"	"r"	4	128	10	7	0	2	1	0.4065	-1
602	3	1	19	"f"	"r"	4	129	5	4	0	2	1	0.24118	-1
602	3	1	19	"f"	"r"	4	130	2	2	0	1	2	0.28005	20
602	3	1	19	"f"	"r"	4	131	18	16	15	1	1	0.36016	1
602	3	1	19	"f"	"r"	4	132	8	6	0	1	2	0.50521	20
602	3	1	19	"f"	"r"	4	133	9	6	5	2	1	0.36875	-1
602	3	1	19	"f"	"r"	4	134	15	12	11	2	1	0.59771	-1
602	3	1	19	"f"	"r"	4	135	11	8	0	2	1	0.25599	-1
602	3	1	19	"f"	"r"	4	136	10	7	0	2	1	1.074	-1
602	3	1	19	"f"	"r"	4	137	6	3	4	1	1	0.36899	1
602	3	1	19	"f"	"r"	4	138	1	1	0	1	1	0.26427	1
602	3	1	19	"f"	"r"	4	139	11	8	0	2	1	0.27824	-1
602	3	1	19	"f"	"r"	4	140	15	11	12	2	1	0.24001	-1
602	3	1	19	"f"	"r"	4	141	7	5	0	1	1	0.92117	1
602	3	1	19	"f"	"r"	4	142	9	6	5	2	1	0.26437	-1
602	3	1	19	"f"	"r"	4	143	4	3	0	2	1	0.39146	-1
602	3	1	19	"f"	"r"	4	144	3	2	1	2	1	0.28077	-1
602	3	1	19	"f"	"r"	5	145	7	5	0	1	1	0.48774	1
602	3	1	19	"f"	"r"	5	146	3	1	2	2	2	0.43928	-20
602	3	1	19	"f"	"r"	5	147	15	11	12	2	1	0.40915	-1
602	3	1	19	"f"	"r"	5	148	16	13	0	2	1	0.27417	-1
602	3	1	19	"f"	"r"	5	149	9	6	5	2	1	0.50518	-1
