"","cond","subj","phase","block","trial","stim","resp","rt"
"532","noload",18,"exp",1,2,5,"A",1460
"533","noload",18,"exp",1,3,6,"B",956
"534","noload",18,"exp",1,4,2,"A",821
"535","noload",18,"exp",1,5,1,"A",1492
"536","noload",18,"exp",1,6,4,"B",939
"537","noload",18,"exp",1,7,10,"B",917
"538","noload",18,"exp",1,8,9,"A",1007
"539","noload",18,"exp",1,9,7,"B",759
"540","noload",18,"exp",1,10,8,"B",1112
"541","noload",18,"exp",2,1,5,"A",2670
"542","noload",18,"exp",2,2,10,"B",1372
"543","noload",18,"exp",2,3,4,"B",727
"544","noload",18,"exp",2,4,6,"B",777
"545","noload",18,"exp",2,5,1,"A",793
"546","noload",18,"exp",2,6,8,"B",680
"547","noload",18,"exp",2,7,3,"A",1051
"548","noload",18,"exp",2,8,2,"A",1138
"549","noload",18,"exp",2,9,7,"B",1301
"550","noload",18,"exp",2,10,9,"A",963
"551","noload",18,"exp",3,1,5,"A",2205
"552","noload",18,"exp",3,2,7,"B",699
"553","noload",18,"exp",3,3,2,"A",829
"554","noload",18,"exp",3,4,9,"A",859
"555","noload",18,"exp",3,5,4,"B",760
"556","noload",18,"exp",3,6,8,"B",888
"557","noload",18,"exp",3,7,6,"B",837
"558","noload",18,"exp",3,8,1,"A",849
"559","noload",18,"exp",3,9,3,"A",862
"560","noload",18,"exp",3,10,10,"B",667
"561","noload",18,"exp",4,1,6,"B",742
"562","noload",18,"exp",4,2,1,"A",599
"563","noload",18,"exp",4,3,9,"A",749
"564","noload",18,"exp",4,4,10,"B",797
"565","noload",18,"exp",4,5,3,"A",812
"566","noload",18,"exp",4,6,7,"B",1531
"567","noload",18,"exp",4,7,4,"B",7840
"568","noload",18,"exp",4,8,2,"B",2426
"569","noload",18,"exp",4,9,5,"A",1152
"570","noload",18,"exp",4,10,8,"B",2978
"571","noload",18,"exp",5,1,1,"A",1994
"572","noload",18,"exp",5,2,7,"B",1280
"573","noload",18,"exp",5,3,9,"B",2638
"574","noload",18,"exp",5,4,8,"B",893
"575","noload",18,"exp",5,5,6,"B",1049
"576","noload",18,"exp",5,6,2,"B",559
"577","noload",18,"exp",5,7,3,"A",855
"578","noload",18,"exp",5,8,4,"A",756
"579","noload",18,"exp",5,9,10,"B",821
"580","noload",18,"exp",5,10,5,"A",1075
"581","noload",18,"exp",6,1,2,"B",1309
"582","noload",18,"exp",6,2,7,"A",810
"583","noload",18,"exp",6,3,5,"A",665
"584","noload",18,"exp",6,4,6,"B",684
"585","noload",18,"exp",6,5,8,"B",799
"586","noload",18,"exp",6,6,1,"A",798
"587","noload",18,"exp",6,7,3,"A",829
"588","noload",18,"exp",6,8,4,"A",875
"589","noload",18,"exp",6,9,10,"B",791
"590","noload",18,"exp",6,10,9,"B",1287
"591","noload",18,"exp",7,1,9,"B",1582
